Trajectory,X,Y,Reward
1,20.0,1.170634644153052,-0.9468914654795055
1,16.459660678009698,2.2814996754515544,-0.9446557885711652
1,17.3614931106567,2.75232529640198,-0.942687904294842
1,18.172241210937603,2.88671016693115,-0.9418963358748592
1,17.331029891967802,1.6548018455505398,-0.946057709921506
1,19.194709777832,3.7733778953552304,-0.9384486303780541
1,19.794715881347603,4.2362310886382994,-0.9365687721451159
1,20.0,5.35389113426209,-0.9317224793856796
1,20.0,5.8195309638977,-0.9294804708184135
1,20.0,6.88789176940919,-0.9237346136552641
1,20.0,7.928446769714349,-0.9171606187767821
1,20.0,8.620022296905521,-0.9121263656142247
1,18.2227439880372,7.633092880249021,-0.9199613238149266
1,20.0,9.586225509643558,-0.9039733383005327
1,18.5530185699463,9.293271064758299,-0.9074422368822623
1,20.0,10.674751281738281,-0.892764254315095
1,19.3572235107422,10.99092864990238,-0.8892822144795035
1,18.3346309661865,10.8029336929321,-0.8930095600861585
1,18.362289428710902,11.4743528366088,-0.8848127717466568
1,19.2754173278809,12.539797782897999,-0.8665831953629959
1,18.1478900909423,12.3597002029418,-0.8727991600599677
1,18.725866317749002,13.306282997131301,-0.8532412173780531
1,18.6945247650146,13.827135086059599,-0.8415063208616929
1,17.764986038207997,13.555922508239801,-0.8533866528111244
1,19.048231124877905,14.891259193420401,-0.8075680714965366
1,19.397943496704098,15.586442947387699,-0.7755044492485679
1,20.0,16.607455253601003,-0.7052360175760553
1,19.311895370483402,16.3614921569824,-0.7299488705009971
1,20.0,17.980358123779297,0.4951372873448588
2,20.0,0.242546091173438,-0.949386190922442
2,15.321617109780101,2.078171009970541,1.053988690340768
2,15.8715028762817,1.51273858547211,-0.9472090268303821
2,15.7675523757934,0.690192222595212,-0.9494137409586748
2,15.6011419296265,0.28315114974975497,-0.9504989363157085
2,17.235109329223604,2.0058608651161167,-0.9450710001734538
2,17.5570831298828,1.86231017112733,-0.9453595666206844
2,18.4194011688233,2.66515970230102,-0.9425510252154022
2,19.482028961181697,3.7779548168182404,-0.9383868918199558
2,20.0,4.8686146736145,-0.9339121978305422
2,20.0,5.834786891937249,-0.9294045213177339
2,19.553508758545,5.869489669799801,-0.9292664494288251
2,20.0,7.31060600280763,-0.9211940302096966
2,19.216609954834,7.42581987380981,-0.9206258472368777
2,20.0,8.59398460388183,-0.9123269638632671
2,18.467212677002003,8.12724494934082,-0.9164668033778057
2,17.2413883209228,6.316975116729731,1.071641783891505
2,19.0464153289795,8.79789304733276,-0.9110527685627089
2,18.386638641357504,9.36527585983276,-0.9070321533689092
2,20.0,10.56792449951173,-0.8939787960827674
2,18.693347930908104,10.66357803344724,-0.8939263606867923
2,17.551633834839002,10.1760463714599,-0.9012292382127027
2,17.0648822784423,10.396387100219698,-0.9004194939150328
2,19.6528701782226,12.2682476043701,-0.8707933706153694
2,18.950971603393597,12.608645439147999,-0.8660491681532128
2,20.0,13.901841163635302,-0.8360160784863828
2,20.0,14.829975128173901,-0.80657733283848
2,19.785289764404403,14.8739900588989,-0.8050874017466199
2,20.0,16.1841011047364,-0.7379385493569477
2,20.0,16.990594863891502,-0.667708415858852
2,18.666351318359403,15.6816120147706,-0.7787431574054902
2,18.6368179321289,16.181682586669798,-0.7533517835574873
2,19.9445724487305,17.509145736694304,0.4013693299509587
2,18.8237743377686,17.0096130371095,-0.6888028571335325
2,19.5802879333495,17.977235794067397,0.48406241888532014
3,20.0,0.423486845032642,-0.9489183803017414
3,11.811998127098,1.937459639541179,-0.9495758340932524
3,10.615237236022999,1.9593416452407901,-0.9508253024774301
3,10.2081995010376,2.91217136383057,-0.9492243971400617
3,12.227102279663,4.19691705703735,1.056781955880456
3,10.8700437545777,5.1019015312194895,-0.9427691910873127
3,9.571767807006898,5.825996398925771,-0.943171764179599
3,9.540369987487761,6.577983379364019,-0.9412328102807965
3,11.170179367065469,7.66021966934204,-0.9340957429988345
3,9.24197578430174,6.86299896240234,-0.9411067234180549
3,10.06958484649658,7.871094226837171,-0.9362064672157872
3,11.706689834594751,9.19561195373535,-0.9265804200209469
3,12.7869882583618,10.23962688446044,-0.9176033037706275
3,13.4766454696655,11.04924583435066,-0.9097118937626832
3,13.0136499404908,11.036580085754299,-0.9120067295504534
3,12.345045089721598,10.656127929687601,-0.9172128355810171
3,11.876374244690002,10.392365455627498,-0.9205196759593388
